MODEL SOLUTION,MUTATION,INPUT 1,INPUT 2,EXPECTED RESULT,ACTUAL RESULT
ADD,mutant19,0,2,2,0
ADD,mutant10,0,2,2,0
ADD,mutant14,0,2,2,0
ADD,mutant18,0,2,2,-3
ADD,mutant20,0,2,2,9
ADD,mutant5,0,2,2,-1
ADD,mutant17,0,2,2,-2
ADD,mutant3,0,2,2,-1
ADD,mutant1,0,2,2,-1
ADD,mutant2,0,2,2,-1
ADD,mutant6,7,6,13,15
ADD,mutant4,7,6,13,0
ADD,mutant11,7,6,13,1
ADD,mutant9,7,6,13,0
ADD,mutant8,7,6,13,-13
ADD,mutant7,7,6,13,11
ADD,mutant13,7,6,13,-1
ADD,mutant15,7,6,13,1
ADD,mutant21,7,6,13,262143
ADD,mutant16,7,6,13,6
ADD,mutant12,7,6,13,26
ADD,mutant19,7,6,13,1
ADD,mutant10,7,6,13,42
ADD,mutant14,7,6,13,1764
ADD,mutant18,7,6,13,-2
ADD,mutant20,7,6,13,1280
ADD,mutant5,7,6,13,-1
ADD,mutant17,7,6,13,0
ADD,mutant3,7,6,13,-1
ADD,mutant1,7,6,13,-1
ADD,mutant2,7,6,13,-1
ADD,mutant6,8,5,13,15
ADD,mutant4,8,5,13,0
ADD,mutant11,8,5,13,1
ADD,mutant9,8,5,13,0
ADD,mutant8,8,5,13,-13
ADD,mutant7,8,5,13,11
ADD,mutant13,8,5,13,-1
ADD,mutant15,8,5,13,1
ADD,mutant21,8,5,13,262143
ADD,mutant16,8,5,13,0
ADD,mutant12,8,5,13,26
ADD,mutant19,8,5,13,3
ADD,mutant10,8,5,13,40
ADD,mutant14,8,5,13,1600
ADD,mutant18,8,5,13,-14
ADD,mutant20,8,5,13,2208
ADD,mutant5,8,5,13,-1
ADD,mutant17,8,5,13,-5
ADD,mutant3,8,5,13,-1
ADD,mutant1,8,5,13,-1
ADD,mutant2,8,5,13,-1
ADD,mutant6,1,3,4,6
ADD,mutant4,1,3,4,0
ADD,mutant11,1,3,4,0
ADD,mutant9,1,3,4,0
ADD,mutant8,1,3,4,-4
ADD,mutant7,1,3,4,2
ADD,mutant13,1,3,4,-1
ADD,mutant15,1,3,4,0
ADD,mutant21,1,3,4,134217727
ADD,mutant16,1,3,4,1
ADD,mutant12,1,3,4,8
ADD,mutant19,1,3,4,1
ADD,mutant10,1,3,4,3
ADD,mutant14,1,3,4,9
ADD,mutant18,1,3,4,-3
ADD,mutant20,1,3,4,26
ADD,mutant5,1,3,4,-1
ADD,mutant17,1,3,4,-2
ADD,mutant3,1,3,4,-1
ADD,mutant1,1,3,4,-1
ADD,mutant2,1,3,4,-1
ADD,mutant6,6,2,8,10
ADD,mutant4,6,2,8,0
ADD,mutant11,6,2,8,3
ADD,mutant9,6,2,8,0
ADD,mutant8,6,2,8,-8
ADD,mutant7,6,2,8,6
ADD,mutant13,6,2,8,-1
ADD,mutant15,6,2,8,3
ADD,mutant21,6,2,8,8388607
ADD,mutant16,6,2,8,2
ADD,mutant12,6,2,8,16
ADD,mutant19,6,2,8,0
ADD,mutant10,6,2,8,12
ADD,mutant14,6,2,8,144
ADD,mutant18,6,2,8,-5
ADD,mutant20,6,2,8,392
ADD,mutant5,6,2,8,-1
ADD,mutant17,6,2,8,0
ADD,mutant3,6,2,8,-1
ADD,mutant1,6,2,8,-1
ADD,mutant2,6,2,8,-1
ADD,mutant6,5,8,13,15
ADD,mutant4,5,8,13,0
ADD,mutant11,5,8,13,0
ADD,mutant9,5,8,13,0
ADD,mutant8,5,8,13,-13
ADD,mutant7,5,8,13,11
